Speed,Time
0,0
0,0.02
0,0.04
0,0.06
0,0.08
0,0.1
0,0.12
0,0.14
0,0.16
0,0.18
0,0.2
0,0.22
0,0.24
0,0.26
0,0.28
0,0.3
0,0.32
0,0.34
0,0.36
0,0.38
0,0.4
0,0.42
0,0.44
0,0.46
0,0.48
0,0.5
0,0.52
0,0.54
0,0.56
0,0.58
0,0.6
0,0.62
0,0.64
0,0.66
0,0.68
0,0.7
0,0.72
0,0.74
0,0.76
0,0.78
0,0.8
0,0.82
0,0.84
0,0.86
0,0.88
0,0.9
0,0.92
0,0.94
0,0.96
0,0.98
0,1
0,1.02
0,1.04
0,1.06
0,1.08
0,1.1
0,1.12
0,1.14
0,1.16
0,1.18
0,1.2
0,1.22
0,1.24
0,1.26
0,1.28
0,1.3
0,1.32
0,1.34
0,1.36
0,1.38
0,1.4
0,1.42
0,1.44
0,1.46
0,1.48
0,1.5
0,1.52
0,1.54
0,1.56
0,1.58
0,1.6
0,1.62
0,1.64
0,1.66
0,1.68
0,1.7
0,1.72
0,1.74
0,1.76
0,1.78
0,1.8
0,1.82
0,1.84
0,1.86
0,1.88
0,1.9
0,1.92
0,1.94
0,1.96
0,1.98
0,2
0,2.02
0,2.04
0,2.06
0,2.08
0,2.1
0,2.12
0,2.14
0,2.16
0,2.18
0,2.2
0,2.22
0,2.24
0,2.26
0,2.28
0,2.3
0,2.32
0,2.34
0,2.36
0,2.38
0,2.4
0,2.42
0,2.44
0,2.46
0,2.48
0,2.5
0,2.52
0,2.54
0,2.56
0,2.58
0,2.6
0,2.62
0,2.64
0,2.66
0,2.68
0,2.7
0,2.72
0,2.74
0,2.76
0,2.78
0,2.8
0,2.82
0,2.84
0,2.86
0,2.88
0,2.9
0,2.92
0,2.94
0,2.96
0,2.98
0,3
0,3.02
0,3.04
0,3.06
0,3.08
0,3.1
0,3.12
0,3.14
0,3.16
0,3.18
0,3.2
0,3.22
0,3.24
0,3.26
0,3.28
0,3.3
0,3.32
0,3.34
0,3.36
0,3.38
0,3.4
0,3.42
0,3.44
0,3.46
0,3.48
0,3.5
0,3.52
0,3.54
0,3.56
0,3.58
0,3.6
0,3.62
0,3.64
0,3.66
0,3.68
0,3.7
0,3.72
0,3.74
0,3.76
0,3.78
0,3.8
0,3.82
0,3.84
0,3.86
0,3.88
0,3.9
0,3.92
0,3.94
0,3.96
0,3.98
0,4
0,4.02
0,4.04
0,4.06
0,4.08
0,4.1
0,4.12
0,4.14
0,4.16
0,4.18
0,4.2
0,4.22
0,4.24
0,4.26
0,4.28
0,4.3
0,4.32
0,4.34
0,4.36
0,4.38
0,4.4
0,4.42
0,4.44
0,4.46
0,4.48
0,4.5
0,4.52
0,4.54
0,4.56
0,4.58
0,4.6
0,4.62
0,4.64
0,4.66
0,4.68
0,4.7
0,4.72
0,4.74
0,4.76
0,4.78
0,4.8
0,4.82
0,4.84
0,4.86
0,4.88
0,4.9
0,4.92
0,4.94
0,4.96
0,4.98
0,5
11.5,5.02
34.6,5.04
40.35,5.06
46.15,5.08
51.9,5.1
57.65,5.12
51.9,5.14
51.9,5.16
51.9,5.18
51.9,5.2
57.65,5.22
57.65,5.24
57.65,5.26
57.65,5.28
57.65,5.3
51.9,5.32
51.9,5.34
57.65,5.36
57.65,5.38
57.65,5.4
57.65,5.42
57.65,5.44
51.9,5.46
51.9,5.48
57.65,5.5
57.65,5.52
57.65,5.54
57.65,5.56
57.65,5.58
51.9,5.6
51.9,5.62
51.9,5.64
57.65,5.66
57.65,5.68
57.65,5.7
57.65,5.72
51.9,5.74
51.9,5.76
57.65,5.78
57.65,5.8
57.65,5.82
57.65,5.84
57.65,5.86
51.9,5.88
51.9,5.9
57.65,5.92
57.65,5.94
57.65,5.96
57.65,5.98
57.65,6
51.9,6.02
57.65,6.04
57.65,6.06
57.65,6.08
57.65,6.1
57.65,6.12
51.9,6.14
57.65,6.16
57.65,6.18
57.65,6.2
57.65,6.22
57.65,6.24
51.9,6.26
57.65,6.28
57.65,6.3
57.65,6.32
57.65,6.34
57.65,6.36
51.9,6.38
57.65,6.4
57.65,6.42
57.65,6.44
57.65,6.46
57.65,6.48
57.65,6.5
51.9,6.52
51.9,6.54
57.65,6.56
57.65,6.58
57.65,6.6
57.65,6.62
57.65,6.64
51.9,6.66
51.9,6.68
51.9,6.7
57.65,6.72
57.65,6.74
57.65,6.76
57.65,6.78
57.65,6.8
51.9,6.82
57.65,6.84
57.65,6.86
57.65,6.88
57.65,6.9
57.65,6.92
57.65,6.94
51.9,6.96
57.65,6.98
57.65,7
57.65,7.02
57.65,7.04
51.9,7.06
51.9,7.08
57.65,7.1
57.65,7.12
57.65,7.14
57.65,7.16
57.65,7.18
51.9,7.2
57.65,7.22
57.65,7.24
57.65,7.26
57.65,7.28
51.9,7.3
51.9,7.32
57.65,7.34
57.65,7.36
57.65,7.38
57.65,7.4
