Speed,Time
0,0
0,0.07
0,0.14
0,0.21
0,0.28
0,0.35
0,0.42
0,0.49
0,0.56
0,0.63
0,0.7
0,0.77
0,0.84
0,0.91
0,0.98
0,1.05
0,1.12
0,1.19
0,1.26
0,1.33
0,1.4
0,1.47
0,1.54
0,1.61
0,1.68
0,1.75
0,1.82
0,1.89
0,1.96
0,2.03
0,2.1
0,2.17
0,2.24
0,2.31
0,2.38
0,2.45
0,2.52
0,2.59
0,2.66
0,2.73
0,2.8
0,2.87
0,2.94
0,3.01
0,3.08
0,3.15
0,3.22
0,3.29
0,3.36
0,3.43
0,3.5
0,3.57
0,3.64
0,3.71
0,3.78
0,3.85
0,3.92
0,3.99
0,4.06
0,4.13
0,4.2
0,4.27
0,4.34
0,4.41
0,4.48
0,4.55
0,4.62
0,4.69
0,4.76
0,4.83
0,4.9
0,4.97
0,5.04
0,5.11
0,5.18
0,5.25
0,5.32
0,5.39
0,5.46
0,5.53
0,5.6
0,5.67
0,5.74
0,5.81
0,5.88
0,5.95
0,6.02
0,6.09
0,6.16
0,6.23
0,6.3
0,6.37
0,6.44
0,6.51
0,6.58
0,6.65
0,6.72
0,6.79
0,6.86
0,6.93
0,7
29.65,7.07
51.05,7.14
54.35,7.21
56,7.28
56,7.35
56,7.42
56,7.49
56,7.56
56,7.63
56,7.7
56,7.77
56,7.84
56,7.91
56,7.98
56,8.05
56,8.12
56,8.19
56,8.26
56,8.33
56,8.4
56,8.47
56,8.54
56,8.61
56,8.68
56,8.75
56,8.82
56,8.89
56,8.96
56,9.03
56,9.1
56,9.17
56,9.24
56,9.31
56,9.38
56,9.45
56,9.52
56,9.59
56,9.66
56,9.73
56,9.8
56,9.87
56,9.94
56,10.01
56,10.08
56,10.15
56,10.22
56,10.29
56,10.36
56,10.43
56,10.5
56,10.57
56,10.64
56,10.71
56,10.78
56,10.85
56,10.92
56,10.99
56,11.06
56,11.13
56,11.2
56,11.27
56,11.34
56,11.41
56,11.48
56,11.55
56,11.62
56,11.69
56,11.76
56,11.83
56,11.9
56,11.97
56,12.04
56,12.11
56,12.18
56,12.25
56,12.32
56,12.39
56,12.46
56,12.53
56,12.6
56,12.67
56,12.74
56,12.81
56,12.88
56,12.95
56,13.02
56,13.09
56,13.16
56,13.23
56,13.3
56,13.37
56,13.44
56,13.51
56,13.58
56,13.65
56,13.72
56,13.79
56,13.86
56,13.93
56,14
21.4,14.07
1.6,14.14
0,14.21
0,14.28
0,14.35
0,14.42
0,14.49
0,14.56
0,14.63
0,14.7
0,14.77
0,14.84
0,14.91
0,14.98
0,15.05
0,15.12
0,15.19
0,15.26
0,15.33
0,15.4
0,15.47
0,15.54
0,15.61
0,15.68
0,15.75
0,15.82
0,15.89
0,15.96
0,16.03
0,16.1
0,16.17
0,16.24
0,16.31
0,16.38
0,16.45
0,16.52
0,16.59
0,16.66
0,16.73
0,16.8
0,16.87
0,16.94
0,17.01
0,17.08
0,17.15
0,17.22
0,17.29
0,17.36
0,17.43
0,17.5
0,17.57
0,17.64
0,17.71
0,17.78
0,17.85
0,17.92
0,17.99
0,18.06
0,18.13
0,18.2
0,18.27
0,18.34
0,18.41
0,18.48
0,18.55
0,18.62
0,18.69
0,18.76
0,18.83
0,18.9
0,18.97
0,19.04
0,19.11
0,19.18
0,19.25
0,19.32
0,19.39
0,19.46
0,19.53
0,19.6
0,19.67
0,19.74
0,19.81
0,19.88
0,19.95
0,20.02
0,20.09
0,20.16
0,20.23
0,20.3
0,20.37
0,20.44
0,20.51
0,20.58
0,20.65
0,20.72
0,20.79
0,20.86
0,20.93
0,21
29.65,21.07
51.05,21.14
54.35,21.21
56,21.28
56,21.35
56,21.42
56,21.49
56,21.56
56,21.63
56,21.7
56,21.77
56,21.84
56,21.91
56,21.98
56,22.05
56,22.12
56,22.19
56,22.26
56,22.33
56,22.4
56,22.47
56,22.54
56,22.61
56,22.68
56,22.75
56,22.82
56,22.89
56,22.96
56,23.03
56,23.1
56,23.17
56,23.24
56,23.31
56,23.38
56,23.45
56,23.52
56,23.59
56,23.66
56,23.73
56,23.8
56,23.87
56,23.94
56,24.01
56,24.08
56,24.15
56,24.22
56,24.29
56,24.36
56,24.43
56,24.5
56,24.57
56,24.64
56,24.71
56,24.78
56,24.85
56,24.92
56,24.99
56,25.06
56,25.13
56,25.2
56,25.27
56,25.34
56,25.41
56,25.48
56,25.55
56,25.62
56,25.69
56,25.76
56,25.83
56,25.9
56,25.97
56,26.04
56,26.11
56,26.18
56,26.25
56,26.32
56,26.39
56,26.46
56,26.53
56,26.6
56,26.67
56,26.74
56,26.81
56,26.88
56,26.95
56,27.02
56,27.09
56,27.16
56,27.23
56,27.3
56,27.37
56,27.44
56,27.51
56,27.58
56,27.65
56,27.72
56,27.79
56,27.86
56,27.93
56,28
21.4,28.07
1.6,28.14
0,28.21
0,28.28
0,28.35
0,28.42
0,28.49
0,28.56
0,28.63
0,28.7
0,28.77
0,28.84
0,28.91
0,28.98
0,29.05
0,29.12
0,29.19
0,29.26
0,29.33
0,29.4
0,29.47
0,29.54
0,29.61
0,29.68
0,29.75
0,29.82
0,29.89
0,29.96
0,30.03
0,30.1
0,30.17
0,30.24
0,30.31
0,30.38
0,30.45
0,30.52
0,30.59
0,30.66
0,30.73
0,30.8
0,30.87
0,30.94
0,31.01
0,31.08
0,31.15
0,31.22
0,31.29
0,31.36
0,31.43
0,31.5
0,31.57
0,31.64
0,31.71
0,31.78
0,31.85
0,31.92
0,31.99
0,32.06
0,32.13
0,32.2
0,32.27
0,32.34
0,32.41
0,32.48
0,32.55
0,32.62
0,32.69
0,32.76
0,32.83
0,32.9
0,32.97
0,33.04
0,33.11
0,33.18
0,33.25
0,33.32
0,33.39
0,33.46
0,33.53
0,33.6
0,33.67
0,33.74
0,33.81
0,33.88
0,33.95
0,34.02
0,34.09
0,34.16
0,34.23
0,34.3
0,34.37
0,34.44
0,34.51
0,34.58
0,34.65
0,34.72
0,34.79
0,34.86
0,34.93
0,35
28,35.07
51.05,35.14
54.35,35.21
56,35.28
56,35.35
56,35.42
56,35.49
56,35.56
56,35.63
56,35.7
56,35.77
56,35.84
56,35.91
56,35.98
56,36.05
56,36.12
56,36.19
56,36.26
56,36.33
56,36.4
56,36.47
56,36.54
56,36.61
56,36.68
56,36.75
56,36.82
56,36.89
56,36.96
56,37.03
56,37.1
56,37.17
56,37.24
56,37.31
56,37.38
56,37.45
56,37.52
56,37.59
56,37.66
56,37.73
56,37.8
56,37.87
56,37.94
56,38.01
56,38.08
56,38.15
56,38.22
56,38.29
56,38.36
56,38.43
56,38.5
56,38.57
56,38.64
56,38.71
56,38.78
56,38.85
56,38.92
56,38.99
56,39.06
56,39.13
56,39.2
56,39.27
56,39.34
56,39.41
56,39.48
56,39.55
56,39.62
56,39.69
56,39.76
56,39.83
56,39.9
56,39.97
56,40.04
56,40.11
56,40.18
56,40.25
56,40.32
56,40.39
56,40.46
56,40.53
56,40.6
56,40.67
56,40.74
56,40.81
56,40.88
56,40.95
56,41.02
56,41.09
56,41.16
56,41.23
56,41.3
56,41.37
56,41.44
56,41.51
